date,time,amount,category,description,payment_method,place
2023-01-05,14:30,950,Shopping,Weekly shopping,UPI,SuperMart
2023-01-06,09:00,55,Food,Morning coffee,UPI,Haridwar Cafe 
2023-01-07,19:15,130,Food,Restaurant with friends,Credit Card,Jwalapur Haridwar
2023-01-08,11:45,40,Transport,Gas refill,UPI,Sitapur
2023-01-09,17:00,320,Entertainment,Movie ticket,Cash,Bahadrabaad
2023-01-10,08:00,150,Healthcare,Pharmacy prescription,UPI,Jatwarapul
2023-01-11,13:00,130,Food,Sandwich and drink,UPI,Ranipur Moore
2023-01-12,16:00,230,Utilities,Electricity bill (partial),Bank Transfer,Online Payment
2023-01-13,10:30,150,Shopping,New t-shirt,Credit Card,Fashion Store jwalapur
2023-01-14,20:00,60,Food,Takeout pizza,Cash,Pizza Palace sitapur
